sentence_id,sentence,aspect,category,polarity
1606:0,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي,تعامل,SERVICE,positive
1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,خدمات,SERVICE,positive
1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,موقع,LOCATION,positive
1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان,المكان,LOCATION,positive
1606:2,وجود خدمات توصيل من والى المطار وجود سيارات تنقلك الى المزارات ( مسجد قباء - مقبرة الشهداء - مقبرة البقيع ),خدمات,SERVICE,positive
759:0,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه,الفنادق,HOTEL,positive
759:0,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه,الخدمه,SERVICE,positive
759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم,الوجبات,FOOD_DRINKS,positive
759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم,الحرم,LOCATION,positive
196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,فندق,HOTEL,positive
196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,الفندق,HOTEL,positive
196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,مستوى الخدمه,SERVICE,positive
196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره,الاستقبال,SERVICE,positive
196:1,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ,الفندق,LOCATION,positive
1700:0,اقامة هادئة,اقامة,HOTEL,positive
1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا,لفندق,HOTEL,positive
1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا,الهدوء,HOTEL,positive
1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,العاملين,SERVICE,positive
1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,العاملين,SERVICE,positive
1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز,الفندق,HOTEL,positive
2278:0,رحلة عمل سأظل أتذكر هذا الفندق لسنوات عديدة، فقد كانت هناك صراصير في الغرفة،,الغرفة,ROOMS,negative
2278:1,(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك.,موظفي الفندق,SERVICE,positive
2278:3,ولن أنصح أحد بهذا الفندق لا سيما إذا كان يصطحب أطفالا.,الفندق,HOTEL,negative
2278:4,وبالنسبة لرحلات العمل القصيرة، التي لا تستدعي إجراءات خاصة، لا بأس بهذا الفندق، ولكن ليس أكثر من ذلك!,الفندق,HOTEL,neutral
1068:0,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة,الفندق,HOTEL,neutral
1068:0,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة,NULL,HOTEL,neutral
1068:1,و هي  1:-في صراصير بالحمام مش كثير بي بكره أكيد بكثرة,الحمام,ROOMS,negative
1068:4,4:- أسعار المشروبات الساخنة مثل الشاي و النسكافية غالي جداً,أسعار المشروبات,FOOD_DRINKS,negative
1068:5,5:- أعتقد إن أسعاره غالية قليلا,أسعاره,HOTEL,negative
1210:0,اقامه ممتعه,اقامه,HOTEL,positive
1210:1,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت,الخدمه,SERVICE,positive
1210:1,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت,الاكل,FOOD_DRINKS,positive
1210:3,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .,الموظفين,SERVICE,positive
1210:4,الغرف متوسطة ولكن مريحة . الحديقة متوسط و التشجير ضعيف  القيمه مقابل ما تحصل عليه هي صفقه رابحه و ممتعه,الغرف,ROOMS,positive
1705:0,وكان الجميع جميلة ومتعاونة في وخاصة لوك,NULL,SERVICE,positive
1705:1,"الغرف رائعة, الكثير من مساحة كبيرة بحجم ملكي, للتحرك اختر من مقاعد مريحة للجلوس.",الغرف,ROOMS,positive
1705:2,"لقد تم تصوير فيلم قصير هنا, كانت الغرفة في الطابق الأرضي خلف مكتب الاستقبال تفتح على الفناء الذي كان لطيفا أن الأبواب مفتوحة للخروج, الجلوس في الشمس.",الغرفة,ROOMS,positive
1705:3,موقع رائع من المطاعم والمقاهي. ساعود هنا مرة أخرى أوصي به لأي شخص.,موقع,LOCATION,positive
1705:3,موقع رائع من المطاعم والمقاهي. ساعود هنا مرة أخرى أوصي به لأي شخص.,NULL,HOTEL,positive
941:0,فندق ممتاز,فندق,HOTEL,positive
941:1,قضيت الفترة من 24-28/4 هناك وكانت الزيارة الثالثة المكان جميل جدا,المكان,LOCATION,positive
941:2,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا,موظفين,SERVICE,positive
941:2,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا,خدمة,SERVICE,positive
1749:0,نظافة وحداثة اثاث الغرفة,نظافة,HOTEL,positive
1749:0,نظافة وحداثة اثاث الغرفة,اثاث,ROOMS,positive
1749:2,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية,موظفي,SERVICE,positive
1017:0,لقد كرهناه ولن نعود أبداً الاستوديوهات بمقاس السرير فقط،,الاستوديوهات,ROOMS,negative
1017:1,، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل.,الحمام,ROOMS,negative
1017:1,، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل.,المرحاض,ROOMS,negative
910:0,فندق رائع بكل المقاييس بل هو افضل فنادق المدينة المنورة على الاطلاق,فندق,HOTEL,positive
910:1,اولا من لحظة دخولك الفندق كل رخام و شكله رائع ..,NULL,HOTEL,positive
910:2,ثانيا الاستقبال من الموظفين رائع و الاجراءات تنتهى بسرعة ..,الموظفين,ROOMS,positive
910:3,الغرفة مميزة و رائعة ..,الغرفة,ROOMS,positive
910:4,الخدمة جيدة جدا و سريعة ..,الخدمة,SERVICE,positive
910:5,الموقع للفندق مميز و الشىء الرائع انه بجوار باب 25 المخصص للحريم و المؤدى للروضة للحريم...,الموقع,LOCATION,positive
778:0,كانت فتره الاقامه ممتعه ..,الاقامه,HOTEL,positive
778:1,الفندق قريب جدا من الحرم على بعد خطوات ليس اكتر ...,الحرم,LOCATION,positive
778:2,الموظفين اكتر من رائعين و يلبون الطلبات فى الوقت المخصص لها ....,الموظفين,SERVICE,positive
778:3,اتمنى المزيد من التقدم للعاملين فى هدا الفندق الرائع و مزيد من التقدم ان شاء الله. و حتما سوف اعود ان شاء الله.,للعاملين فى هدا الفندق,SERVICE,positive
2210:0,رخيص و نظيف,نظيف,HOTEL,positive
2210:0,رخيص و نظيف,NULL,HOTEL,positive
2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,فندق,HOTEL,positive
2210:1,إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف.,خدمة غرف,SERVICE,negative
2210:2,لذا إذا كنت تبحث عن مكان رخيص بالقرب من مركز البلدة و نظيف أيضاً، هذا هو مكانك. إذا كنت تحب بعض الرفاهية أثناء إقامتك فبكل تأكيد ستخيب آمالك جداً هناك.,مركز البلدة,LOCATION,positive
2210:2,لذا إذا كنت تبحث عن مكان رخيص بالقرب من مركز البلدة و نظيف أيضاً، هذا هو مكانك. إذا كنت تحب بعض الرفاهية أثناء إقامتك فبكل تأكيد ستخيب آمالك جداً هناك.,NULL,HOTEL,negative
197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,فندق,HOTEL,positive
197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,الخدمة,SERVICE,negative
197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,فندق,HOTEL,positive
197:0,فندق رائع ولكن الخدمة ضعيفة فندق جميل وخلاب ويقع في وسط المدينة وبناءه جميل وقديم لكن الخدمة ليست بالمستوى المطلوب,الخدمة,SERVICE,negative
197:1,حيث لاحظت ان هنالك نقص بالموظفين فقد قضينا ننتظر دورنا في الاستقبال نصف ساعة وكان هنالك موظف استقبال واحد فقط,موظفين,SERVICE,negative
828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",إقامة,HOTEL,positive
828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",الفندق,HOTEL,positive
828:0,"وددت أن أنقل صورة عن إقامتي في فندق انتر كونتيننتال الأردن , كانت إقامة رائعة ولله الحمد يتميز الفندق بكثر الحركة وكثر السائحين وهذا يعطي انطباعا جيدا عن الفندق,",الفندق,HOTEL,positive
828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,كثرة الزائرين,HOTEL,positive
828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,المأكولات,FOOD_DRINKS,positive
828:1,وكثرة الزائرين تعني لي بأن جميع المأكولات تكون نظيفة وجيدة وهذا ما وجدته في مطعم برج الحمام وخدمة الروم سيرفس,خدمة الروم سيرفس,SERVICE,positive
276:0,زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،,الفندق,HOTEL,positive
276:0,زيارة القاهرة لم أفكر كثيرا في هذا الفندق. وفضلا عن كونه مريحة إلى حد ما بالنسبة لقربه من المطار وأنه غير مكلف، إلا أنه كان رتيب جدا وصاخبة جدا بالليل،,المطار,LOCATION,positive
276:1,الموسيقى صاخبة جدا من الحادية عشرة مساءًا حتى بعد الساعة الثالثة صباحًا.,الموسيقى,HOTEL,negative
276:2,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.,الإفطار,FOOD_DRINKS,neutral
276:2,كان الإفطار معقولا ولم أجرب أية وجبات أخرى. وكان الموظفون جدًا جيدين.,الموظفون,SERVICE,neutral
887:0,الفندق يقع في آخر ابراج البيت يعني قريب من الحرم والخدمات,الحرم,LOCATION,positive
1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,مكان,LOCATION,positive
1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,خدمة,SERVICE,positive
1202:0,مكان رائع وجميل وخدمة ممتازة ومعاملة رائعة,معاملة,SERVICE,positive
1202:1,ذهبت انا ومجموعة من أصدقائي الي فندق كورال بيتش كل منا معه أسرته واشهد بأننا قد قضينا وقت ممتع وسعيد والكل تفاني في خدمتنا ولا توجد تفرقة بين مصري وأجنبي وهذا ما أشعرني بالسعادة البالغة,خدمتنا,HOTEL,positive
1202:1,ذهبت انا ومجموعة من أصدقائي الي فندق كورال بيتش كل منا معه أسرته واشهد بأننا قد قضينا وقت ممتع وسعيد والكل تفاني في خدمتنا ولا توجد تفرقة بين مصري وأجنبي وهذا ما أشعرني بالسعادة البالغة,NULL,SERVICE,positive
1202:2,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة,العاملين بالفندق,SERVICE,positive
1202:2,ومن هنا بشكر جميع العاملين بالفندق علي حسن المعاملة المحترفة المحترمة مقدمة لكم عماد صدقي راشد صدقي عاطف مكرم جمال عويضة,المعاملة,SERVICE,positive
872:0,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً,غرفة المزدوجة,ROOMS,negative
872:0,سكنت ثلاث ليالي في شهر ديسمبر قبل ثلاثة أعوام و كان الفندق بمطعم واحد فقط للإفطار السعر مرتفع جداً للغرفة المزدوجة و بوفيه الإفطار أيضاً,بوفيه الإفطار,FOOD_DRINKS,negative
872:1,الغرفة رائعه الإضاءة و الديكور و العزل و صغيرة نسبياً,الغرفة,ROOMS,positive
872:2,الفندق قريب جداً من المسجد النبوي حوالي خمس دقائق مشي في الساحة الأمامية لايوجد أماكن واسعه للجلوس والحديث,الفندق,LOCATION,positive
872:2,الفندق قريب جداً من المسجد النبوي حوالي خمس دقائق مشي في الساحة الأمامية لايوجد أماكن واسعه للجلوس والحديث,NULL,HOTEL,negative
2170:0,لن أفي هذا الفندق حقه حتى لو قلت إنه مريع!,الفندق,HOTEL,negative
2170:1,هذا الفندق هو بيت دعارة. إنه مكان للبغايا والقوادين، ولا يليق أبداً بالعائلات والأزواج.,الفندق,HOTEL,negative
2170:2,الطابق الأرضي ملئ بالبغايا طيلة أيام الأسبوع وعلى مدار الساعة، والحمامات قذرة، والضوضاء ليلاً مزعجة جداً، وأنا أعدكم بأنكم لن تغفو ولو لثوانى.,الطابق الأرضي,HOTEL,negative
2170:2,الطابق الأرضي ملئ بالبغايا طيلة أيام الأسبوع وعلى مدار الساعة، والحمامات قذرة، والضوضاء ليلاً مزعجة جداً، وأنا أعدكم بأنكم لن تغفو ولو لثوانى.,الحمامات,ROOMS,negative
2170:3,ستسمع زمامير السيارات، والناس يصرخون والموسيقى صاخبة بشكل رهيب. كنت في غاية الاشمئزاز، وببساطة رفضت أن أذهب إلى الإفطار هناك. لا تختر أبداً هذا الفندق، إلا إذا كنت تبحث عن أرخص العاهرات في دبي، الإمارات.,الفندق,HOTEL,negative
2170:3,ستسمع زمامير السيارات، والناس يصرخون والموسيقى صاخبة بشكل رهيب. كنت في غاية الاشمئزاز، وببساطة رفضت أن أذهب إلى الإفطار هناك. لا تختر أبداً هذا الفندق، إلا إذا كنت تبحث عن أرخص العاهرات في دبي، الإمارات.,NULL,HOTEL,negative
167:0,مبالََغ في مدحه  تصميم وتجديد الفندق يؤكد أنه من إنتاج ثمانينات القرن الماضي. يصعب الوصول إلى الخدمة ولكن إذا استطعت الحصول على دقيقة من المدير المشغول في الاستقبال ستحصل على استجابة. الانطباع العام هو أن العديد من الزوار المنبهرين بفندق كيه آند كيه في TripAdvisor أقاموا في فندق آخر.,الفندق,HOTEL,negative
601:0,حتى أفضل لقد كتبت عن العاج من قبل. كان لدي مؤخرا سبب لزيارتهم مرة أخرى وقد دهشت. يبدو أن المكان قد غيّر الأيدي العاملة، وهم ماضون في عملية إصلاح المكان. حتى أنه هناك افتتاح مطعم صغير قريبا. وقد عُرض علي عرض من الدرجة الأولى على شقة بغرفتي نوم. هذا المكان ذو معدل سعر مقابل أداء أفضل مما كان عليه قبل,المكان,HOTEL,neutral
566:0,فندق رائع فندق جميل كل الغرف فيه عبارة عن استديو جميل وداخله مطبخ وجلسة صغيرة مع سماعة سبيكر للايبود وجاكوزي رااااااائع ..,فندق,HOTEL,positive
566:0,فندق رائع فندق جميل كل الغرف فيه عبارة عن استديو جميل وداخله مطبخ وجلسة صغيرة مع سماعة سبيكر للايبود وجاكوزي رااااااائع ..,فندق,HOTEL,positive
566:1,"والسعر مناسب لهذه الرفاهية ..الخدمة سريعة والاستقبال جميل جدا..يوجد به عدد 2 بارات .. وهو على شارع البانقلا بشكل شبه مباشر خطوتين فقط وانت في الشارع ويعتبر موقعه افضل موقع ,,",السعر,HOTEL,neutral
566:1,"والسعر مناسب لهذه الرفاهية ..الخدمة سريعة والاستقبال جميل جدا..يوجد به عدد 2 بارات .. وهو على شارع البانقلا بشكل شبه مباشر خطوتين فقط وانت في الشارع ويعتبر موقعه افضل موقع ,,",الخدمة,SERVICE,positive
566:1,"والسعر مناسب لهذه الرفاهية ..الخدمة سريعة والاستقبال جميل جدا..يوجد به عدد 2 بارات .. وهو على شارع البانقلا بشكل شبه مباشر خطوتين فقط وانت في الشارع ويعتبر موقعه افضل موقع ,,",الاستقبال,SERVICE,positive
34:0,جودة الخدمة عالية الخدمة الفطر ممتاز. ...وخدمات الموظفين. .حلو في قمت. الاحترام. وغرف. موقع. استراتيجي. .ممتاز. .ونظيف. ...بصراحة حلو. .ممتاز. من جميع النواحي. ...يستهل.4نجمه أو 5 نجمة...نحب. نشوف. المرة ثانيه. يكون.ع.نفس المستوى العالي,الخدمة,SERVICE,positive
34:0,جودة الخدمة عالية الخدمة الفطر ممتاز. ...وخدمات الموظفين. .حلو في قمت. الاحترام. وغرف. موقع. استراتيجي. .ممتاز. .ونظيف. ...بصراحة حلو. .ممتاز. من جميع النواحي. ...يستهل.4نجمه أو 5 نجمة...نحب. نشوف. المرة ثانيه. يكون.ع.نفس المستوى العالي,الخدمة,SERVICE,positive
34:0,جودة الخدمة عالية الخدمة الفطر ممتاز. ...وخدمات الموظفين. .حلو في قمت. الاحترام. وغرف. موقع. استراتيجي. .ممتاز. .ونظيف. ...بصراحة حلو. .ممتاز. من جميع النواحي. ...يستهل.4نجمه أو 5 نجمة...نحب. نشوف. المرة ثانيه. يكون.ع.نفس المستوى العالي,خدمات الموظفين,SERVICE,positive
34:0,جودة الخدمة عالية الخدمة الفطر ممتاز. ...وخدمات الموظفين. .حلو في قمت. الاحترام. وغرف. موقع. استراتيجي. .ممتاز. .ونظيف. ...بصراحة حلو. .ممتاز. من جميع النواحي. ...يستهل.4نجمه أو 5 نجمة...نحب. نشوف. المرة ثانيه. يكون.ع.نفس المستوى العالي,غرف,ROOMS,positive
1250:0,نزل مبيت وإفطار حميم وملائم- أنصح به  فريق عمل حميم وودود يتحدث الإنجليزية,إفطار,FOOD_DRINKS,positive
1250:0,نزل مبيت وإفطار حميم وملائم- أنصح به  فريق عمل حميم وودود يتحدث الإنجليزية,فريق عمل,SERVICE,positive
1250:1,فقط إفطار بسيط (تشكيلة من الخبز)، واي فاي مجاني,إفطار,FOOD_DRINKS,positive
1250:2,بعض الغرف تحتوي على حمام خاص.,الغرف,ROOMS,positive
1521:0,"فندق لطيف مكثنا ثلاث ليال في الآونة الأخيرة.إن الغرف, الديكور, الاستعدادات ممتازة. إن المطعم الياباني جيد و يقدم تخفيضا رائعا بقيمة %30 على الطعام و المشروبات قبل 7:00 مساء.",فندق,HOTEL,positive
1521:0,"فندق لطيف مكثنا ثلاث ليال في الآونة الأخيرة.إن الغرف, الديكور, الاستعدادات ممتازة. إن المطعم الياباني جيد و يقدم تخفيضا رائعا بقيمة %30 على الطعام و المشروبات قبل 7:00 مساء.",الغرف,ROOMS,positive
1521:0,"فندق لطيف مكثنا ثلاث ليال في الآونة الأخيرة.إن الغرف, الديكور, الاستعدادات ممتازة. إن المطعم الياباني جيد و يقدم تخفيضا رائعا بقيمة %30 على الطعام و المشروبات قبل 7:00 مساء.",الديكور,ROOMS,positive
1521:1,إن خيار البوفيه في مطعم الفندق المطعم الرئيسي يعد أقل إثارة للاهتمام. أظن أن الطعام المعد للعملاء الدوليين يؤدي إلى نوع من فقدإن البصر. إنه يحتوي على الكثير من المواد الغذائية ولكن ليس مثيرا للغاية.,البوفيه,FOOD_DRINKS,neutral
1521:1,إن خيار البوفيه في مطعم الفندق المطعم الرئيسي يعد أقل إثارة للاهتمام. أظن أن الطعام المعد للعملاء الدوليين يؤدي إلى نوع من فقدإن البصر. إنه يحتوي على الكثير من المواد الغذائية ولكن ليس مثيرا للغاية.,الطعام,FOOD_DRINKS,neutral
130:0,تقييمى للفندق ممتاز مع مرتبة الشرف لما فيه من خدمات ممتازة ورائعة لجميع زوار الفندق وتوافر الالعاب الاكوابارك وتعاون جميع العمال مع الزوار من جميع الجنسيات خاصة العمال المصريين,فندق,HOTEL,positive
130:0,تقييمى للفندق ممتاز مع مرتبة الشرف لما فيه من خدمات ممتازة ورائعة لجميع زوار الفندق وتوافر الالعاب الاكوابارك وتعاون جميع العمال مع الزوار من جميع الجنسيات خاصة العمال المصريين,خدمات,SERVICE,positive
130:1,وكذالك نظافة الغرف دائما وجوده الطعام الطازج واسعار خاصة للجميع,الغرف,ROOMS,positive
130:1,وكذالك نظافة الغرف دائما وجوده الطعام الطازج واسعار خاصة للجميع,الطعام,FOOD_DRINKS,positive
130:1,وكذالك نظافة الغرف دائما وجوده الطعام الطازج واسعار خاصة للجميع,اسعار,HOTEL,positive
2242:0,لتحسين الخدمة بالفندق يجب مراعاة بعض ا#65271;شياء لكي يتم تحسين الخدمة أولا نظافة الغرف يجب أن تكون يومية و ليس عند الطلب,الخدمة,SERVICE,negative
2242:0,لتحسين الخدمة بالفندق يجب مراعاة بعض ا#65271;شياء لكي يتم تحسين الخدمة أولا نظافة الغرف يجب أن تكون يومية و ليس عند الطلب,نظافة الغرف,ROOMS,negative
2242:1,الطلب ثانيا يوجد صراصير كثيرة بالغرفة ثالثا خدمة الغرف سيئة جدا فقد قمنا بطلب قهوة مرتين و كل مرة أسوأ من الثانية,بالغرفة,ROOMS,negative
2242:1,الطلب ثانيا يوجد صراصير كثيرة بالغرفة ثالثا خدمة الغرف سيئة جدا فقد قمنا بطلب قهوة مرتين و كل مرة أسوأ من الثانية,خدمة الغرف,SERVICE,negative
